Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-28T17:19:50Z, Acceleration (via User), y, 0.00138511799741536
2016-11-28T17:19:50Z, Acceleration (via User), z, 0.00191862613428384
2016-11-28T17:19:50Z, Attitude, Roll, 0.112234244317268
2016-11-28T17:19:50Z, Attitude, Yaw, -1.17005055790133
2016-11-28T17:19:50Z, Attitude, Pitch, 0.0094876773006589
2016-11-28T17:19:50Z, Magnetometer (corrected for device), x, -27.5936813354492
2016-11-28T17:19:50Z, Magnetometer (corrected for device), y, -27.6177635192871
2016-11-28T17:19:50Z, Magnetometer (corrected for device), z, -27.1573181152344
2016-11-28T17:19:50Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:19:52Z, GPS, Latitude, 42.3387317225095
2016-11-28T17:19:52Z, GPS, Longitude, -71.08816088789
2016-11-28T17:19:52Z, GPS, Altitude, 6.58833837509155
2016-11-28T17:19:52Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:19:59Z, Acceleration (via User), x, -0.00032676212140359
2016-11-28T17:19:59Z, Acceleration (via User), y, 0.000699832220561802
2016-11-28T17:19:59Z, Acceleration (via User), z, 0.00171594962012023
2016-11-28T17:19:59Z, Magnetometer (corrected for device), x, -27.5936813354492
2016-11-28T17:19:59Z, Magnetometer (corrected for device), y, -27.6176872253418
2016-11-28T17:19:59Z, Magnetometer (corrected for device), z, -27.3073120117188
2016-11-28T17:19:59Z, Magnetometer (corrected for device), Estimated Accuracy, Medium
2016-11-28T17:19:59Z, Attitude, Roll, 0.112138912657371
2016-11-28T17:19:59Z, Attitude, Yaw, -1.17023561798648
2016-11-28T17:19:59Z, Attitude, Pitch, 0.00945851815109894
2016-11-28T17:20:01Z, GPS, Latitude, 42.338732011469
2016-11-28T17:20:01Z, GPS, Longitude, -71.0881603878514
2016-11-28T17:20:01Z, GPS, Altitude, 6.58833837509155
2016-11-28T17:20:01Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:20:04Z, GPS, Latitude, 42.3387494373982
2016-11-28T17:20:04Z, GPS, Longitude, -71.0881958545243
2016-11-28T17:20:04Z, GPS, Altitude, 7.01904916763306
2016-11-28T17:20:04Z, GPS, Horizontal Accuracy, 65.0
2016-11-28T17:20:08Z, Acceleration (via User), x, -0.00102551188319921
