Timestamp, Data Source, Data, Display Value, Raw Value
2016-11-19T19:48:50Z, Magnetometer (corrected for device), z, -53.0821228027344
2016-11-19T19:48:50Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:48:51Z, GPS, Latitude, 42.3388659409682
2016-11-19T19:48:51Z, GPS, Longitude, -71.0882513681839
2016-11-19T19:48:51Z, GPS, Altitude, 9.99259853363037
2016-11-19T19:48:51Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:48:59Z, Attitude, Roll, -0.032993243470648
2016-11-19T19:48:59Z, Attitude, Yaw, 0.260379388430679
2016-11-19T19:48:59Z, Attitude, Pitch, 0.000347445531462151
2016-11-19T19:48:59Z, Acceleration (via User), x, -2.24596965381352e-06
2016-11-19T19:48:59Z, Acceleration (via User), y, -3.40242004313041e-05
2016-11-19T19:48:59Z, Acceleration (via User), z, 0.00491835828870535
2016-11-19T19:48:59Z, Magnetometer (corrected for device), x, -14.2345008850098
2016-11-19T19:48:59Z, Magnetometer (corrected for device), y, 7.65158843994141
2016-11-19T19:48:59Z, Magnetometer (corrected for device), z, -52.8505859375
2016-11-19T19:48:59Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:49:00Z, GPS, Latitude, 42.3388661406084
2016-11-19T19:49:00Z, GPS, Longitude, -71.0882510259801
2016-11-19T19:49:00Z, GPS, Altitude, 9.99259853363037
2016-11-19T19:49:00Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:03Z, GPS, Latitude, 42.3388321261432
2016-11-19T19:49:03Z, GPS, Longitude, -71.0882272402994
2016-11-19T19:49:03Z, GPS, Altitude, 9.94205474853516
2016-11-19T19:49:03Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:08Z, Attitude, Roll, -0.0331226089137647
2016-11-19T19:49:08Z, Attitude, Yaw, 0.260221703099541
2016-11-19T19:49:08Z, Attitude, Pitch, 0.000591317366588524
2016-11-19T19:49:08Z, Acceleration (via User), x, 0.000233856524573639
2016-11-19T19:49:08Z, Acceleration (via User), y, -0.000629385816864669
2016-11-19T19:49:08Z, Acceleration (via User), z, 0.00328127783723176
2016-11-19T19:49:08Z, Magnetometer (corrected for device), x, -14.7564888000488
2016-11-19T19:49:08Z, Magnetometer (corrected for device), y, 6.89882659912109
2016-11-19T19:49:08Z, Magnetometer (corrected for device), z, -52.5579528808594
2016-11-19T19:49:08Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:49:12Z, GPS, Latitude, 42.3388323050268
2016-11-19T19:49:12Z, GPS, Longitude, -71.0882269401913
2016-11-19T19:49:12Z, GPS, Altitude, 9.94205474853516
2016-11-19T19:49:12Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:14Z, GPS, Latitude, 42.3388398743195
2016-11-19T19:49:14Z, GPS, Longitude, -71.0882423596742
2016-11-19T19:49:14Z, GPS, Altitude, 9.9658727645874
2016-11-19T19:49:14Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:17Z, Attitude, Roll, -0.0330679399912787
2016-11-19T19:49:17Z, Attitude, Yaw, 0.260288749182226
2016-11-19T19:49:17Z, Attitude, Pitch, 0.000590402793856721
2016-11-19T19:49:17Z, Acceleration (via User), x, -0.000324322492815554
2016-11-19T19:49:17Z, Acceleration (via User), y, 5.63451430934947e-05
2016-11-19T19:49:17Z, Acceleration (via User), z, 0.00418335571885109
2016-11-19T19:49:17Z, Magnetometer (corrected for device), x, -14.4606971740723
2016-11-19T19:49:17Z, Magnetometer (corrected for device), y, 7.95050811767578
2016-11-19T19:49:17Z, Magnetometer (corrected for device), z, -52.9222106933594
2016-11-19T19:49:17Z, Magnetometer (corrected for device), Estimated Accuracy, High
2016-11-19T19:49:23Z, GPS, Latitude, 42.3388400326695
2016-11-19T19:49:23Z, GPS, Longitude, -71.0882420920176
2016-11-19T19:49:23Z, GPS, Altitude, 9.9658727645874
2016-11-19T19:49:23Z, GPS, Horizontal Accuracy, 65.0
2016-11-19T19:49:26Z, Attitude, Roll, -0.0332191206176301
